City_ID,city,lat,lng,max_Temp,humidity,cloudiness,wind_Speed,country,date
183,tasiilaq,65.6145,-37.6368,24.96,87,100,4.85,GL,2023-04-03 21:14:53
184,chifeng,42.2683,118.9636,35.74,74,100,7.76,CN,2023-04-03 21:14:53
185,vao,-22.6667,167.4833,78.08,83,63,10.65,NC,2023-04-03 21:14:53
186,nacala,-14.5428,40.6728,73.74,97,81,7.14,MZ,2023-04-03 21:14:53
187,yarada,17.65,83.2667,80.92,100,40,6.91,IN,2023-04-03 21:14:53
188,minbu,20.1833,94.8833,75.24,69,7,4.74,MM,2023-04-03 21:14:54
189,vangaindrano,-23.35,47.6,73.24,91,46,1.61,MG,2023-04-03 21:14:54
190,lagoa,39.05,-27.9833,58.1,73,98,13.47,PT,2023-04-03 21:14:16
191,kenai,60.5544,-151.2583,32.09,64,100,11.5,US,2023-04-03 21:14:54
192,srednekolymsk,67.45,153.6833,1.15,77,99,4.09,RU,2023-04-03 21:14:54
193,the pas,53.8251,-101.2541,15.98,75,83,5.12,CA,2023-04-03 21:14:54
194,meadow lake,34.8014,-106.5436,75.69,6,0,29.28,US,2023-04-03 21:14:55
195,wonthaggi,-38.6044,145.5913,57.81,77,76,3.6,AU,2023-04-03 21:14:55
196,bronnoysund,65.4625,12.1997,37.4,93,75,5.01,NO,2023-04-03 21:14:55
197,deqing,30.5448,119.9599,57.94,87,100,5.08,CN,2023-04-03 21:14:55
198,nanortalik,60.1432,-45.2371,35.22,84,100,3.56,GL,2023-04-03 21:14:56
199,mocuba,-16.8392,36.9856,67.55,94,30,0.94,MZ,2023-04-03 21:14:56
200,phonhong,18.5007,102.4166,73.02,49,3,2.73,LA,2023-04-03 21:14:56
201,illapel,-31.6308,-71.1653,74.8,46,100,5.37,CL,2023-04-03 21:14:56
202,nelson bay,-32.7167,152.15,66.99,97,99,8.01,AU,2023-04-03 21:14:56
203,inhambane,-23.865,35.3833,72.64,82,0,7.78,MZ,2023-04-03 21:14:57
204,aykhal,66.0,111.5,5.52,95,100,13.56,RU,2023-04-03 21:14:57
205,sayat,38.7839,63.8803,57.52,55,22,7.09,TM,2023-04-03 21:14:57
206,koumac,-20.5667,164.2833,80.91,75,57,1.9,NC,2023-04-03 21:14:57
207,sishui,35.6489,117.2758,53.53,92,100,13.02,CN,2023-04-03 21:14:57
